id2,E_target_3_1,ED1_target_3_1,ED2_target_3_1,Pu1_target_3_1,Pu2_target_3_1,E_hybrid_target_3_1,P_E_target_3_1,E_target_3_2,ED1_target_3_2,ED2_target_3_2,Pu1_target_3_2,Pu2_target_3_2,E_hybrid_target_3_2,P_E_target_3_2,E_target_3_3,ED1_target_3_3,ED2_target_3_3,Pu1_target_3_3,Pu2_target_3_3,E_hybrid_target_3_3,P_E_target_3_3,E_target_1_1,ED1_target_1_1,ED2_target_1_1,Pu1_target_1_1,Pu2_target_1_1,E_hybrid_target_1_1,P_E_target_1_1,E_target_1_2,ED1_target_1_2,ED2_target_1_2,Pu1_target_1_2,Pu2_target_1_2,E_hybrid_target_1_2,P_E_target_1_2,E_target_1_3,ED1_target_1_3,ED2_target_1_3,Pu1_target_1_3,Pu2_target_1_3,E_hybrid_target_1_3,P_E_target_1_3,E_target_2_1,ED1_target_2_1,ED2_target_2_1,Pu1_target_2_1,Pu2_target_2_1,E_hybrid_target_2_1,P_E_target_2_1,E_target_2_2,ED1_target_2_2,ED2_target_2_2,Pu1_target_2_2,Pu2_target_2_2,E_hybrid_target_2_2,P_E_target_2_2,E_target_2_3,ED1_target_2_3,ED2_target_2_3,Pu1_target_2_3,Pu2_target_2_3,E_hybrid_target_2_3,P_E_target_2_3
AC-194-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,2.89,2.89,0.0091948,0.0091948,-13.48,0.711032,,,,,,,,,,,,,,,,,,,,,
AC-210-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.2,1.1,1.1,0.167833,0.167833,-11.4,0.444277,,,,,,,,,,,,,,,,,,,,,
AC-212-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.48,1.89,1.89,0.04658,0.04658,-13.26,0.533866,,,,,,,,,,,,,,,,,,,,,
GC-29-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.92,0.37,0.37,0.548627,0.548627,-2.66,0.675404,,,,,,,,,,,,,,,,,,,,,
GC-33-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.22,1.61,1.61,0.0733674,0.0733674,-6.44,0.764517,,,,,,,,,,,,,,,,,,,,,
GC-47-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.48,4.22,4.22,0.00106255,0.00106255,-12.92,0.549536,,,,,,,,,,,,,,,,,,,,,
GC-98-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.86,3.87,3.87,0.0018749,0.0018749,-16.6,0.575817,,,,,,,,,,,,,,,,,,,,,
GC-120-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.02,1.73,1.73,0.0603871,0.0603871,-11.48,0.467285,,,,,,,,,,,,,,,,,,,,,
GC-126-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.24,1.09,1.09,0.170579,0.170579,-13.42,0.726621,,,,,,,,,,,,,,,,,,,,,
GC-153-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.64,0.23,0.23,0.68854,0.68854,-5.1,0.416899,,,,,,,,,,,,,,,,,,,,,
GC-177-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.12,1.6,1.6,0.0745675,0.0745675,-13.32,0.45823,,,,,,,,,,,,,,,,,,,,,
GC-240-241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.32,1.07,1.07,0.176205,0.176205,-13.46,0.435224,,,,,,,,,,,,,,,,,,,,,
GC-252-253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.28,2.26,2.26,0.025555,0.025555,-14.8,0.282411,,,,,,,,,,,,,,,,,,,,,
GC-267-268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,2.41,2.41,0.0200345,0.0200345,-13.52,0.680358,,,,,,,,,,,,,,,,,,,,,
AC-9-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.37,4.75,5.56,0.000449657,0.000120812,-19.68,664.317,,,,,,,,,,,,,,
AC-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.31,3.68,5.0,0.0025519,0.000299721,-17.99,56.1563,,,,,,,,,,,,,,
AC-13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.32,3.78,3.53,0.00216969,0.00325508,-17.63,0.965196,,,,,,,,,,,,,,
AC-16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.76,4.28,0.36,0.000963984,0.557601,-16.4,9.91955,,,,,,,,,,,,,,
AC-26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.53,3.79,4.8,0.00213477,0.000414618,-20.12,0.538242,,,,,,,,,,,,,,
AC-30-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.56,3.91,5.5,0.00175709,0.000133165,-17.97,6.63926,,,,,,,,,,,,,,
AC-39-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.08,1.97,0.68,0.0409097,0.331767,-11.73,0.738583,,,,,,,,,,,,,,
AC-44-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.65,2.52,2.79,0.0167597,0.0108145,-15.96,1.55431,,,,,,,,,,,,,,
AC-66-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.81,6.79,4.99,1.64203e-05,0.000304624,-28.59,0.994943,,,,,,,,,,,,,,
AC-110-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.66,4.23,4.63,0.00104545,0.000546311,-20.52,0.532514,,,,,,,,,,,,,,
AC-164-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.97,6.34,3.65,3.40783e-05,0.00267919,-19.96,0.878879,,,,,,,,,,,,,,
AC-197-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.93,2.69,0.67,0.0127196,0.337194,-20.29,0.921822,,,,,,,,,,,,,,
GC-102-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.0,4.51,1.18,0.000663741,0.147403,-17.69,0.814007,,,,,,,,,,,,,,
GC-117-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.33,6.13,3.95,4.79132e-05,0.00164667,-20.41,0.466977,,,,,,,,,,,,,,
GC-132-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.13,0.86,0.31,0.24774,0.604723,-13.3,0.473796,,,,,,,,,,,,,,
GC-141-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.34,5.82,3.79,7.92317e-05,0.00213477,-21.95,0.742181,,,,,,,,,,,,,,
GC-147-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.18,5.35,3.94,0.000169859,0.00167361,-19.47,0.466887,,,,,,,,,,,,,,
GC-170-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,7.29,2.84,7.29548e-06,0.00997184,-19.23,10.5468,,,,,,,,,,,,,,
GC-174-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.64,6.81,6.0,1.5896e-05,5.91644e-05,-21.45,64.1715,,,,,,,,,,,,,,
GC-207-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.8,0.7,3.07,0.321174,0.00686601,-15.57,0.713179,,,,,,,,,,,,,,
AC-9-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.37,4.75,5.56,0.000449657,0.000120812,-19.68,157.691,,,,,,,
AC-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.31,3.68,5.0,0.0025519,0.000299721,-17.99,53.4377,,,,,,,
AC-13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.32,3.78,3.53,0.00216969,0.00325508,-17.63,0.965171,,,,,,,
AC-16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.76,4.28,0.36,0.000963984,0.557601,-16.4,9.76693,,,,,,,
AC-26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.64,5.35,4.8,0.000169859,0.000414618,-35.79,0.538982,,,,,,,
AC-30-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.52,5.7,5.55,9.62626e-05,0.000122788,-35.77,0.964992,,,,,,,
AC-39-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.92,3.95,3.97,0.00164667,0.00159409,-28.84,0.733617,,,,,,,
AC-44-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9,3.18,2.79,0.0057437,0.0108145,-26.87,0.402754,,,,,,,
AC-66-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.48,7.35,4.99,6.61872e-06,0.000304624,-37.82,0.778177,,,,,,,
AC-110-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.01,5.17,4.63,0.000227471,0.000546311,-29.81,0.576819,,,,,,,
AC-164-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.44,9.17,3.65,3.45382e-07,0.00267919,-31.26,63.7087,,,,,,,
AC-197-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.54,2.84,0.67,0.00997184,0.337194,-31.05,0.650124,,,,,,,
GC-102-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.35,4.54,1.18,0.000632207,0.147403,-26.07,3.70892,,,,,,,
GC-117-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.18,7.12,3.95,9.6127e-06,0.00164667,-33.25,0.367978,,,,,,,
GC-132-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.45,9.5,3.3,2.02191e-07,0.00472752,-37.25,0.613297,,,,,,,
GC-141-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.44,6.2,3.79,4.2769e-05,0.00213477,-26.43,78.8003,,,,,,,
GC-147-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.49,6.96,3.94,1.24621e-05,0.00167361,-33.39,0.379885,,,,,,,
GC-170-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.39,8.13,2.84,1.86699e-06,0.00997184,-30.36,0.704881,,,,,,,
GC-174-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.62,7.54,6.0,4.86283e-06,5.91644e-05,-33.16,0.605324,,,,,,,
GC-207-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.54,2.85,3.08,0.00981135,0.0067555,-24.47,17.557,,,,,,,
AC-9-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.64,5.58,5.58,0.000116954,0.000116954,-16.8,41.0759
AC-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.76,5.12,5.12,0.000246694,0.000246694,-16.0,0.870879
AC-13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.52,3.64,3.64,0.00272302,0.00272302,-14.8,0.785062
AC-16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.78,0.35,0.35,0.566722,0.566722,-13.48,0.768835
AC-26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.82,2.89,2.89,0.0091948,0.0091948,-19.6,73.6596
AC-30-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.08,1.56,1.56,0.0795675,0.0795675,-8.2,0.664722
AC-39-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.06,3.47,3.47,0.00358791,0.00358791,-15.0,0.569733
AC-44-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.64,1.77,1.77,0.0565924,0.0565924,-13.18,0.649635
AC-66-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.46,1.48,1.48,0.0905958,0.0905958,-11.42,0.457446
AC-110-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8,2.84,2.84,0.00997184,0.00997184,-13.48,0.525938
AC-164-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,2.35,2.35,0.0220829,0.0220829,-13.4,0.321406
AC-197-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.28,0.59,0.59,0.383931,0.383931,-13.46,0.492326
GC-102-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.68,0.81,0.81,0.268676,0.268676,-13.3,0.511514
GC-117-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.62,2.72,2.72,0.0121153,0.0121153,-13.06,0.685382
GC-132-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.18,3.15,3.15,0.0060302,0.0060302,-13.48,0.747794
GC-141-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.66,1.82,1.82,0.0521825,0.0521825,-13.3,0.748514
GC-147-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.3,3.25,3.25,0.00512703,0.00512703,-16.8,9.29885
GC-170-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.88,1.39,1.39,0.10484,0.10484,-12.66,0.293749
GC-174-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.92,0.59,0.59,0.383931,0.383931,-5.1,0.523576
GC-207-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,2.93,2.93,0.008617,0.008617,-14.66,1.15251
